pm25,visibility,traffic,nox,action
2.7,10.0,23,2.9,0
2.9,10.0,29,1.0,0
1.0,10.0,36,3.5,0
5.1,10.0,37,2.1,0
0.7,10.0,37,0.2,0
54.2,10.0,35,81.6,0
2.7,10.0,56,0.0,0
4.2,10.0,14,0.2,0
102.1,10.0,17,5.6,1
1.4,10.0,49,0.0,0
12.9,10.0,34,0.2,0
1.8,10.0,38,2.3,0
23.4,13.0,25,42.8,0
2.1,24.0,39,0.0,0
2.1,10.0,30,0.8,0
3.9,10.0,33,0.5,0
7.5,10.0,28,12.0,0
17.2,10.0,26,0.8,0
2.5,6.0,31,0.4,0
5.1,10.0,39,1.4,0
2.0,10.0,38,0.2,0
8.9,10.0,16,0.3,0
12.5,10.0,31,0.9,0
60.7,7.0,34,15.1,0
6.0,10.0,27,24.7,0
2.4,10.0,41,1.0,0
17.4,10.0,38,8.9,0
54.3,4.0,8,0.3,1
9.3,10.0,33,0.4,0
30.9,10.0,37,18.0,0
12.9,10.0,26,1.5,0
4.6,10.0,21,1.9,0
33.2,10.0,11,0.7,0
15.2,10.0,19,58.3,0
1.8,11.0,46,0.1,0
0.5,10.0,23,0.0,0
10.5,9.0,34,13.4,0
2.3,10.0,45,5.4,0
2.1,10.0,35,0.1,0
10.9,10.0,38,12.0,0
1.8,10.0,25,2.6,0
1.3,10.0,32,0.9,0
33.9,10.0,27,13.2,0
9.9,10.0,21,2.9,0
2.0,10.0,18,24.7,0
5.4,10.0,23,0.5,0
1.5,10.0,39,0.4,0
1.9,10.0,40,0.0,0
2.7,10.0,50,0.1,0
2.0,10.0,41,0.2,0
14.2,10.0,40,0.9,0
4.9,6.0,45,3.3,0
27.3,10.0,15,8.1,0
6.4,10.0,41,0.4,0
7.5,10.0,14,1.1,0
1.0,10.0,35,0.6,0
6.3,10.0,38,0.5,0
5.3,10.0,36,26.4,0
4.4,10.0,32,1.6,0
2.0,10.0,27,0.7,0
0.6,10.0,43,0.9,0
2.1,10.0,49,0.1,0
45.8,10.0,16,9.2,0
33.9,10.0,38,85.0,0
22.7,10.0,8,0.1,0
0.5,10.0,12,2.4,0
1.8,8.0,45,5.4,0
19.4,10.0,7,0.7,0
0.9,10.0,34,1.4,0
4.1,10.0,26,5.7,0
4.0,10.0,29,10.2,0
28.4,10.0,20,2.0,0
1.2,10.0,31,0.9,0
1.9,10.0,21,0.5,0
33.2,10.0,35,30.9,0
0.5,10.0,36,0.1,0
10.2,10.0,25,0.6,0
3.4,10.0,46,0.1,0
1.8,9.0,43,1.0,0
15.7,10.0,20,2.8,0
6.4,10.0,28,7.4,0
2.4,9.0,39,0.5,0
0.5,10.0,35,0.0,0
2.8,10.0,38,0.3,0
3.4,9.0,23,1.0,0
28.8,10.0,23,0.2,0
3.3,10.0,33,6.7,0
0.9,16.0,27,3.0,0
1.9,10.0,36,5.7,0
3.2,10.0,25,42.5,0
2.9,10.0,46,0.2,0
1.7,10.0,37,8.7,0
14.3,10.0,45,21.8,0
17.2,10.0,26,0.9,0
6.0,10.0,21,2.1,0
9.4,10.0,8,3.9,0
4.8,9.0,24,14.9,0
27.5,10.0,31,7.1,0
2.8,10.0,32,4.7,0
1.4,10.0,34,0.9,0
39.4,10.0,39,6.0,0
1.5,10.0,35,0.4,0
7.0,10.0,26,27.8,0
1.2,10.0,17,1.1,0
5.1,10.0,43,12.2,0
1.9,10.0,24,0.9,0
1.3,10.0,45,4.7,0
5.0,10.0,43,2.5,0
29.3,10.0,32,5.2,0
48.9,10.0,36,13.5,0
1.9,10.0,49,1.6,0
2.9,10.0,31,2.2,0
4.3,10.0,33,2.5,0
6.7,8.0,39,0.4,0
1.7,10.0,33,0.6,0
7.4,9.0,40,0.6,0
4.0,10.0,32,2.1,0
8.7,10.0,16,1.9,0
6.2,10.0,16,4.1,0
0.5,9.0,38,0.3,0
4.1,10.0,37,7.8,0
5.1,10.0,45,1.7,0
35.8,10.0,16,0.4,0
4.9,9.0,37,0.4,0
1.5,10.0,39,0.1,0
2.7,10.0,45,0.1,0
6.6,9.0,33,4.3,0
3.0,10.0,24,1.7,0
3.5,24.0,34,2.6,0
0.5,10.0,25,0.0,0
32.9,10.0,9,0.3,0
440.2,5.0,36,105.6,1
43.5,10.0,34,46.6,0
6.3,10.0,41,1.0,0
2.7,5.0,50,0.2,0
9.0,7.0,23,1.2,0
4.8,10.0,37,7.9,0
6.9,10.0,29,2.0,0
14.7,9.0,36,10.5,0
15.1,10.0,31,0.3,0
1.5,10.0,26,2.3,0
9.0,7.0,23,1.2,0
2.6,10.0,29,2.8,0
10.1,10.0,38,1.6,0
1.4,10.0,27,0.5,0
4.2,10.0,39,4.2,0
15.0,10.0,28,32.6,0
39.1,6.0,14,2.5,0
11.0,10.0,35,4.0,0
0.7,10.0,41,0.0,0
13.7,10.0,27,0.2,0
10.8,10.0,26,1.9,0
18.1,10.0,28,0.8,0
10.0,10.0,32,1.0,0
3.3,10.0,143,1.2,0
6.1,10.0,27,2.6,0
3.6,10.0,27,4.3,0
27.0,10.0,36,5.5,0
12.4,10.0,22,0.3,0
1.0,10.0,26,1.4,0
2.1,10.0,42,5.1,0
2.8,10.0,37,0.9,0
30.1,10.0,25,6.0,0
2.3,10.0,46,0.9,0
54.3,10.0,37,8.1,0
4.1,10.0,39,0.1,0
15.2,8.0,24,0.1,0
2.2,10.0,35,7.9,0
7.6,9.0,41,3.0,0
15.0,6.0,37,4.1,0
17.1,8.0,29,7.8,0
11.9,10.0,33,6.9,0
0.5,8.0,62,0.4,0
31.7,4.0,12,12.7,1
244.7,8.0,39,159.0,1
8.4,10.0,20,87.1,0
17.2,10.0,13,6.9,0
5.6,10.0,34,4.0,0
17.4,10.0,25,4.4,0
15.0,6.0,37,4.1,0
19.5,10.0,28,14.2,0
96.3,9.7,35,73.3,1
18.7,4.0,22,2.9,1
3.8,10.0,39,7.9,0
10.8,10.0,42,5.8,0
1.2,10.0,46,0.0,0
18.3,16.0,16,3.4,0
1.2,10.0,34,0.7,0
10.6,10.0,40,7.2,0
3.0,10.0,24,5.8,0
